j;c;l;lc;m;sp;lp;lb;nlt;nlo;fi;p;f;n;um;uma
B;227;Liceul Teoretic Bilingv ”Ita Wegman”;4061105077;URBAN;Stiinte Sociale;Limba romana;Limba germana;26;26;Zi;Umanist;Teoretica;Liceal;8.35;8.29
B;189;Colegiul National ”Iulia HaSdeu”;4061102341;URBAN;Matematica-Informatica;Limba romana;-;78;78;Zi;Real;Teoretica;Liceal;9.40;9.42
B;191;Colegiul National ”Iulia HaSdeu”;4061102341;URBAN;Stiinte ale Naturii;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;9.47;9.47
B;192;Colegiul National ”Iulia HaSdeu”;4061102341;URBAN;Filologie;Limba romana;-;52;52;Zi;Umanist;Teoretica;Liceal;9.27;9.28
B;193;Colegiul National ”Iulia HaSdeu”;4061102341;URBAN;Filologie;Limba romana;Limba spaniola;26;26;Zi;Umanist;Teoretica;Liceal;8.20;7.74
B;190;Colegiul National ”Iulia HaSdeu”;4061102341;URBAN;Matematica-Informatica;Limba romana;Limba engleza;26;26;Zi;Real;Teoretica;Liceal;9.55;9.54
B;194;Colegiul National ”Iulia HaSdeu”;4061102341;URBAN;Filologie;Limba romana;Limba engleza;26;26;Zi;Umanist;Teoretica;Liceal;9.35;9.35
B;228;Liceul Teoretic ”Traian”;4061102273;URBAN;Matematica-Informatica;Limba romana;-;26;26;Zi;Real;Teoretica;Liceal;8.15;7.97
B;229;Liceul Teoretic ”Traian”;4061102273;URBAN;Stiinte ale Naturii;Limba romana;-;52;52;Zi;Real;Teoretica;Liceal;8.02;7.90
B;230;Liceul Teoretic ”Traian”;4061102273;URBAN;Filologie;Limba romana;-;52;52;Zi;Umanist;Teoretica;Liceal;8.02;8.11
B;231;Liceul Teoretic ”Traian”;4061102273;URBAN;Stiinte Sociale;Limba romana;-;52;52;Zi;Umanist;Teoretica;Liceal;7.97;8.02
B;184;Colegiul National ”Mihai Viteazul”;4061101688;URBAN;Matematica-Informatica;Limba romana;-;208;208;Zi;Real;Teoretica;Liceal;9.50;9.49
B;185;Colegiul National ”Mihai Viteazul”;4061101688;URBAN;Stiinte ale Naturii;Limba romana;-;52;52;Zi;Real;Teoretica;Liceal;9.60;9.63
B;204;"Colegiul National ""Scoala Centrala”";4061104022;URBAN;Matematica-Informatica;Limba romana;-;52;52;Zi;Real;Teoretica;Liceal;9.27;9.26
B;207;"Colegiul National ""Scoala Centrala”";4061104022;URBAN;Filologie;Limba romana;-;78;78;Zi;Umanist;Teoretica;Liceal;9.07;9.11
B;205;"Colegiul National ""Scoala Centrala”";4061104022;URBAN;Matematica-Informatica;Limba romana;Limba franceza;26;26;Zi;Real;Teoretica;Liceal;8.85;8.71
B;206;"Colegiul National ""Scoala Centrala”";4061104022;URBAN;Matematica-Informatica;Limba romana;Limba franceza;26;26;Zi;Real;Teoretica;Liceal;9.15;9.15
