j;c;l;m;sp;lp;lb;nlt;fi;p;f;n;uma
B;135;"Liceul Teoretic ""C-tin Brancoveanu""";URBAN;Filologie;Limba romana;-;52;TER;UMA;Zi;Liceal;01.08.2022
B;136;"Liceul Teoretic ""C-tin Brancoveanu""";URBAN;Stiinte Sociale;Limba romana;-;52;TER;UMA;Zi;Liceal;01.08.2020
B;137;"Liceul Teoretic ""Nicolae Iorga""";URBAN;Matematica-Informatica;Limba romana;-;52;TER;REA;Zi;Liceal;01.09.1946
B;138;"Liceul Teoretic ""Nicolae Iorga""";URBAN;Stiinte ale Naturii;Limba romana;-;26;TER;REA;Zi;Liceal;01.09.1940
B;139;"Liceul Teoretic ""Nicolae Iorga""";URBAN;Stiinte ale Naturii;Limba romana;Limba engleza;26;TER;REA;Zi;Liceal;01.09.1942
B;140;"Liceul Teoretic ""Nicolae Iorga""";URBAN;Filologie;Limba romana;-;26;TER;UMA;Zi;Liceal;01.09.2025
B;141;"Liceul Teoretic ""Nicolae Iorga""";URBAN;Stiinte Sociale;Limba romana;-;26;TER;UMA;Zi;Liceal;01.09.1930
B;142;"Liceul Teoretic ""Alexandru Vlahuta""";URBAN;Filologie;Limba romana;-;52;TER;UMA;Zi;Liceal;01.08.1993
B;143;"Liceul Teoretic ""Alexandru Vlahuta""";URBAN;Filologie;Limba romana;Limba germana;26;TER;UMA;Zi;Liceal;01.08.1963
B;145;"Liceul Teoretic Bilingv ""Miguel de Cervantes""";URBAN;Matematica-Informatica;Limba romana;-;26;TER;REA;Zi;Liceal;01.09.2021
B;146;"Liceul Teoretic Bilingv ""Miguel de Cervantes""";URBAN;Matematica-Informatica;Limba romana;Limba spaniola;26;TER;REA;Zi;Liceal;01.08.1954
B;147;"Liceul Teoretic Bilingv ""Miguel de Cervantes""";URBAN;Filologie;Limba romana;-;26;TER;UMA;Zi;Liceal;09.03.2023
B;148;"Liceul Teoretic Bilingv ""Miguel de Cervantes""";URBAN;Filologie;Limba romana;Limba spaniola;26;TER;UMA;Zi;Liceal;01.08.2017
B;149;"Liceul Teoretic Bulgar ""Hristo Botev""";URBAN;Matematica-Informatica;Limba romana;-;26;TER;REA;Zi;Liceal;01.07.1975
B;150;"Liceul Teoretic Bulgar ""Hristo Botev""";URBAN;Filologie;Limba romana;-;26;TER;UMA;Zi;Liceal;01.07.1997
B;151;"Liceul Teoretic Bulgar ""Hristo Botev""";URBAN;Filologie;Limba romani (rromani);-;26;TER;UMA;Zi;Liceal;-
B;152;"Liceul Teoretic Bulgar ""Hristo Botev""";URBAN;Filologie;Limba bulgara;-;9;TER;UMA;Zi;Liceal;-
B;153;"Liceul Teoretic Bulgar ""Hristo Botev""";URBAN;Filologie;Limba neogreaca;-;9;TER;UMA;Zi;Liceal;-
B;154;"Liceul Teoretic Bulgar ""Hristo Botev""";URBAN;Filologie;Limba rusa;-;8;TER;UMA;Zi;Liceal;-
B;155;"Liceul Greco-Catolic ""Timotei Cipariu""";URBAN;Matematica-Informatica;Limba romana;-;26;TER;REA;Zi;Liceal;08.10.2023
B;156;"Colegiul Economic ""V. Madgearu""";URBAN;Economic;Limba romana;-;216;THN;SRV;Zi;Liceal;01.08.1985
B;157;"Colegiul Economic ""V. Madgearu""";URBAN;Turism Si alimentatie;Limba romana;-;24;THN;SRV;Zi;Liceal;09.01.2023
B;158;"Colegiul Tehnic ""Dinicu Golescu""";URBAN;Turism Si alimentatie;Limba romana;-;48;THN;SRV;Zi;Liceal;01.06.1961
B;159;"Colegiul Tehnic ""Dinicu Golescu""";URBAN;Mecanica;Limba romana;-;24;THN;TEH;Zi;Liceal;01.05.2029
B;160;"Colegiul Tehnic ""Media""";URBAN;Stiinte ale Naturii;Limba romana;-;26;TER;REA;Zi;Liceal;-
B;161;"Colegiul Tehnic ""Media""";URBAN;Productie media;Limba romana;-;120;THN;TEH;Zi;Liceal;01.06.1940
B;162;"Colegiul Tehnic Mecanic ""Grivita""";URBAN;Filologie;Limba romana;-;26;TER;UMA;Zi;Liceal;01.07.1976
B;163;"Colegiul Tehnic Mecanic ""Grivita""";URBAN;Mecanica;Limba romana;-;24;THN;TEH;Zi;Liceal;-
B;164;"Liceul Teoretic ""George Calinescu""";URBAN;Matematica-Informatica;Limba romana;-;78;TER;REA;Zi;Liceal;09.08.2023
B;165;"Liceul Teoretic ""George Calinescu""";URBAN;Filologie;Limba romana;-;78;TER;UMA;Zi;Liceal;01.08.1997
B;166;"Colegiul Tehnic de Aeronautica ""Henri Coanda""";URBAN;Matematica-Informatica;Limba romana;-;26;TER;REA;Zi;Liceal;01.07.1993
B;167;"Colegiul Tehnic de Aeronautica ""Henri Coanda""";URBAN;Filologie;Limba romana;-;26;TER;UMA;Zi;Liceal;01.07.1998
B;168;"Colegiul Tehnic de Aeronautica ""Henri Coanda""";URBAN;Mecanica;Limba romana;-;24;THN;TEH;Zi;Liceal;01.07.1938
B;169;"Colegiul Tehnic de Aeronautica ""Henri Coanda""";URBAN;Electromecanica;Limba romana;-;72;THN;TEH;Zi;Liceal;01.06.1955
B;170;"Colegiul Tehnic Feroviar ""Mihai I""";URBAN;Matematica-Informatica;Limba romana;-;26;TER;REA;Zi;Liceal;01.07.1949
B;171;"Colegiul Tehnic Feroviar ""Mihai I""";URBAN;Stiinte ale Naturii;Limba romana;-;26;TER;REA;Zi;Liceal;01.07.1941
B;172;"Colegiul Tehnic ""Mircea cel Batran""";URBAN;Economic;Limba romana;-;48;THN;SRV;Zi;Liceal;01.06.1989
B;173;"Colegiul Tehnic ""Mircea cel Batran""";URBAN;Mecanica;Limba romana;-;48;THN;TEH;Zi;Liceal;05.01.2023
B;174;"Colegiul Tehnic de Arhitectura Si Lucrari Publice ""Ioan N. Socolescu""";URBAN;Matematica-Informatica;Limba romana;-;26;TER;REA;Zi;Liceal;01.08.2013
B;175;"Colegiul Tehnic de Arhitectura Si Lucrari Publice ""Ioan N. Socolescu""";URBAN;Constructii, instalatii Si lucrari publice;Limba romana;-;24;THN;TEH;Zi;Liceal;01.07.1932
B;176;"Colegiul Tehnologic ""Viaceslav Harnaj""";URBAN;Economic;Limba romana;-;24;THN;SRV;Zi;Liceal;01.07.1948
B;177;"Colegiul Tehnologic ""Viaceslav Harnaj""";URBAN;Turism Si alimentatie;Limba romana;-;24;THN;SRV;Zi;Liceal;01.07.1935
B;178;"Colegiul Tehnologic ""Viaceslav Harnaj""";URBAN;Agricultura;Limba romana;-;48;THN;RES;Zi;Liceal;01.05.1970
B;179;"Liceul ""Dimitrie Paciurea""";URBAN;Filologie;Limba romana;-;26;TER;UMA;Zi;Liceal;01.07.1998
B;180;"Colegiul National ""Mihai Viteazul""";URBAN;Matematica-Informatica;Limba romana;-;208;TER;REA;Zi;Liceal;01.09.1961
B;181;"Colegiul National ""Mihai Viteazul""";URBAN;Stiinte ale Naturii;Limba romana;-;52;TER;REA;Zi;Liceal;01.09.1963
B;182;"Colegiul National ""Cantemir Voda""";URBAN;Matematica-Informatica;Limba romana;-;78;TER;REA;Zi;Liceal;01.09.1942
B;183;"Colegiul National ""Cantemir Voda""";URBAN;Matematica-Informatica;Limba romana;Limba engleza;26;TER;REA;Zi;Liceal;01.09.1955
B;184;"Colegiul National ""Cantemir Voda""";URBAN;Stiinte ale Naturii;Limba romana;-;26;TER;REA;Zi;Liceal;01.09.1943
B;185;"Colegiul National ""Iulia HaSdeu""";URBAN;Matematica-Informatica;Limba romana;-;52;TER;REA;Zi;Liceal;01.09.1947
B;186;"Colegiul National ""Iulia HaSdeu""";URBAN;Matematica-Informatica;Limba romana;Limba engleza;26;TER;REA;Zi;Liceal;01.09.1958
B;187;"Colegiul National ""Iulia HaSdeu""";URBAN;Stiinte ale Naturii;Limba romana;-;26;TER;REA;Zi;Liceal;01.09.1948
B;188;"Colegiul National ""Iulia HaSdeu""";URBAN;Filologie;Limba romana;-;52;TER;UMA;Zi;Liceal;01.09.1931
B;189;"Colegiul National ""Iulia HaSdeu""";URBAN;Filologie;Limba romana;Limba spaniola;26;TER;UMA;Zi;Liceal;01.08.2021
B;190;"Colegiul National ""Iulia HaSdeu""";URBAN;Filologie;Limba romana;Limba engleza;26;TER;UMA;Zi;Liceal;01.09.1937
B;191;"Colegiul National ""Spiru Haret""";URBAN;Matematica-Informatica;Limba romana;-;52;TER;REA;Zi;Liceal;01.09.1975
B;192;"Colegiul National ""Spiru Haret""";URBAN;Matematica-Informatica;Limba romana;Limba engleza;26;TER;REA;Zi;Liceal;01.09.1984
B;193;"Colegiul National ""Spiru Haret""";URBAN;Stiinte ale Naturii;Limba romana;-;52;TER;REA;Zi;Liceal;01.09.1968
B;194;"Colegiul National ""Spiru Haret""";URBAN;Filologie;Limba romana;-;26;TER;UMA;Zi;Liceal;01.09.1955
B;195;"Colegiul National ""Spiru Haret""";URBAN;Stiinte Sociale;Limba romana;-;52;TER;UMA;Zi;Liceal;01.09.1960
B;196;"Colegiul National Bilingv ""George CoSbuc""";URBAN;Matematica-Informatica;Limba romana;Limba engleza;52;TER;REA;Zi;Liceal;01.09.1962
B;197;"Colegiul National Bilingv ""George CoSbuc""";URBAN;Stiinte ale Naturii;Limba romana;Limba engleza;26;TER;REA;Zi;Liceal;01.09.1960
B;198;"Colegiul National Bilingv ""George CoSbuc""";URBAN;Filologie;Limba romana;Limba engleza;52;TER;UMA;Zi;Liceal;01.09.1948
B;199;"Colegiul National Bilingv ""George CoSbuc""";URBAN;Stiinte Sociale;Limba romana;Limba engleza;26;TER;UMA;Zi;Liceal;01.09.1959
B;200;"Colegiul National ""Scoala Centrala""";URBAN;Matematica-Informatica;Limba romana;-;52;TER;REA;Zi;Liceal;01.09.2029
B;201;"Colegiul National ""Scoala Centrala""";URBAN;Matematica-Informatica;Limba romana;Limba franceza;26;TER;REA;Zi;Liceal;01.09.2013
B;202;"Colegiul National ""Scoala Centrala""";URBAN;Filologie;Limba romana;-;78;TER;UMA;Zi;Liceal;01.09.2012
B;203;"Colegiul National ""Scoala Centrala""";URBAN;Filologie;Limba romana;Limba franceza;26;TER;UMA;Zi;Liceal;01.08.1989
B;204;"Colegiul National ""Emil Racovita""";URBAN;Matematica-Informatica;Limba romana;-;26;TER;REA;Zi;Liceal;09.01.2023
B;205;"Colegiul National ""Emil Racovita""";URBAN;Filologie;Limba romana;-;26;TER;UMA;Zi;Liceal;01.08.1991
B;206;"Colegiul National ""Victor BabeS""";URBAN;Matematica-Informatica;Limba romana;-;26;TER;REA;Zi;Liceal;01.08.1994
B;207;"Colegiul National ""Victor BabeS""";URBAN;Stiinte ale Naturii;Limba romana;-;104;TER;REA;Zi;Liceal;01.08.1956
B;208;"Colegiul National ""Victor BabeS""";URBAN;Filologie;Limba romana;-;26;TER;UMA;Zi;Liceal;01.08.1974
B;209;"Colegiul National ""Victor BabeS""";URBAN;Stiinte Sociale;Limba romana;-;26;TER;UMA;Zi;Liceal;01.08.1970
B;210;"Liceul Teoretic ""Ady Endre""";URBAN;Stiinte ale Naturii;Limba maghiara;-;26;TER;REA;Zi;Liceal;01.05.1976
B;211;"Liceul Teoretic ""Lucian Blaga""";URBAN;Matematica-Informatica;Limba romana;-;26;TER;REA;Zi;Liceal;01.08.1938
B;212;"Liceul Teoretic ""Lucian Blaga""";URBAN;Stiinte ale Naturii;Limba romana;-;52;TER;REA;Zi;Liceal;01.08.2019
B;213;"Liceul Teoretic ""Lucian Blaga""";URBAN;Filologie;Limba romana;-;26;TER;UMA;Zi;Liceal;01.08.2022
B;214;"Liceul Teoretic ""Lucian Blaga""";URBAN;Stiinte Sociale;Limba romana;-;52;TER;UMA;Zi;Liceal;01.08.2023
